
REQUESTS
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,61476.445,128594.775,56013.075,111486.39,105241.825,102233.64,99782.15,100013.52,96742.22,96561.15,89824.7,80815.04,65394.995,58352.365,68084.015,76935.605,81163.475,67023.45,82331.875
CherryPy,4090.07,4077.545,4069.04,4047.695,4084.915,4081.215,4072.97,4080.11,4056.755,4088.54,4079.985,4072.005,4049.775,3817.44,3759.135,4023.95,4040.17,4033.175,4004.185
Gunicorn,1044.755,616.2,1370.205,655.335,279.78,1540.485,1248.215,1135.545,1070.82,1403.395,1540.3,1114.545,1455.79,1076.35,1014.055,980.405,1032.63,723.245,806.76
Meinheld,1129.065,1419.15,2220.555,1079.455,2667.67,155.415,1005.9,2106.45,2734.265,2520.695,2085.62,2317.425,3844.27,2975.69,3768.505,3149.115,2413.38,2201.0,2732.755
mod_WSGI-express,1254.34,0.33,7.795,1887.885,1943.23,1986.5,1558.695,1957.38,1884.415,1766.99,1669.55,1686.485,1568.665,1753.56,1862.34,1771.21,1806.31,1661.4,1747.9
uWSGI,3.475,7.265,11.77,16.325,20.075,21.63,27.02,28.385,32.155,36.495,69.75,106.1,138.485,170.36,204.115,239.905,273.96,306.36,336.225

LATENCIES
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,0.395445,1.565,0.06,3.57,4.775,5.88,7.03,6.86,8.63,9.33,18.835,25.165,44.155,58.6,69.38,81.475,91.74,84.135,116.265
CherryPy,2.44,2.435,2.43,2.43,2.445,2.445,2.445,2.44,2.455,2.435,2.445,2.445,2.45,2.61,2.435,2.465,2.455,2.445,2.47
Gunicorn,26.245,40.715,48.23,51.26,71.05,58.645,50.67,52.39,82.18,74.38,63.005,100.78,72.425,71.115,95.625,84.5,106.155,81.385,143.24
Meinheld,15.265,32.765,60.51,61.045,90.125,57.935,97.085,146.895,146.3,169.41,316.275,461.595,389.285,520.24,395.64,482.26,562.465,626.745,482.34
mod_WSGI-express,24.275,3.6615,18.075,96.445,115.07,130.92,130.965,158.15,156.82,133.45,165.22,201.075,252.655,231.36,197.3,201.26,210.23,246.865,231.99
uWSGI,8.065,6.73,73.045,42.12,47.395,37.29,62.77,197.875,59.765,295.93,423.995,726.94,667.505,611.83,596.94,741.71,728.7,747.145,881.165

CPU
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,51.13,102.34,51.37,102.115,101.73,102.78,101.34,101.35,101.69,101.725,101.86,101.995,101.335,102.365,106.86,106.77,108.665,108.06,107.005
CherryPy,143.755,142.68,141.9,142.695,142.525,142.625,142.78,143.715,142.64,142.615,142.515,142.845,142.66,141.955,142.545,142.91,142.31,142.36,143.125
Gunicorn,169.415,98.69,179.56,116.59,44.75,192.085,195.8,180.39,164.55,165.39,182.775,165.805,178.97,157.58,164.5,162.29,170.585,181.42,117.54
Meinheld,93.26,102.53,102.15,56.535,102.31,13.92,38.105,85.035,99.56,98.435,102.24,101.6,97.88,104.57,103.6,96.885,98.19,97.005,100.475
mod_WSGI-express,199.89,0.545,11.13,201.18,199.775,199.33,197.825,200.995,199.6,199.455,200.45,199.5,197.645,200.58,201.815,202.44,202.95,204.0,199.48
uWSGI,0,0,1.49,0.81,1.485,1.98,2.295,3.54,4.59,6.045,13.49,16.205,23.935,28.08,34.05,43.095,37.01,40.19,45.635

MEMORY
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,3.5575,3.572,3.449,3.684,3.7175,3.8505,3.869,3.8315,3.949,3.932,4.479,4.69,5.5195,5.7425,6.4165,7.0635,7.69,8.0365,9.0545
CherryPy,12.96,14.17,13.52,13.85,14.27,14.545,14.73,15.295,16.07,16.03,19.57,24.15,25.625,28.125,30.54,36.335,41.395,42.565,45.695
Gunicorn,21.59,21.565,21.595,21.615,21.625,22.35,22.09,22.045,21.605,22.8,23.015,23.865,22.65,24.01,22.455,23.71,23.635,22.14,23.765
Meinheld,6.0025,6.0845,6.216,6.0645,6.439,6.058,5.9945,6.111,6.3735,6.22,7.0165,6.752,6.785,6.93,7.422,7.555,7.92,8.053,9.1465
mod_WSGI-express,21.58,15.725,16.685,29.07,30.66,31.32,29.675,37.775,34.94,32.245,37.69,37.16,45.595,33.5,34.595,32.785,35.925,40.425,43.285
uWSGI,16.29,15.9,15.925,15.9,15.875,15.935,15.875,15.915,15.97,15.925,27.805,50.17,58.31,67.04,68.985,87.925,105.9,114.2,118.9

ERRORS
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,50,0,293,0,0,0,0,99,46,109,382,610,752,1162,658,543,241,1600,227
CherryPy,0,0,0,0,0,0,55,0,0,0,0,0,0,786,865,145,0,0,0
Gunicorn,100,212,467,472,500,679,652,741,693,814,863,1287,1011,858,1509,1280,1274,446,2106
Meinheld,100,240,177,295,178,600,518,320,388,386,1189,2163,4198,5578,8301,7989,8970,12046,10593
mod_WSGI-express,100,200,300,244,275,334,448,556,630,713,1375,1141,2455,1866,2350,2372,2659,3039,3255
uWSGI,4,29,54,91,104,79,113,54,67,119,151,819,1265,1508,1311,2298,3382,3970,3437
